Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-Nov-23,5207.35,5213.8,5172.15,5188.9,134961709,1704.05
17-Nov-23,5105.65,5105.65,5036.25,5064.95,203393757,3778.89
20-Nov-23,5077.7,5118.25,5052.95,5070.25,123927667,1786.27
21-Nov-23,5095.25,5108.35,5041.35,5052.5,101924612,1680.48
22-Nov-23,5060.95,5065.5,4973.8,4995,124211120,1929.93
23-Nov-23,5012.8,5027.95,4989.1,4994.15,71040225,974.99
24-Nov-23,5009.95,5025,4972.65,4977.2,69479935,977.59
28-Nov-23,4990.45,5083.55,4972.75,5044.35,152345629,1753.8
29-Nov-23,5074.85,5106.05,5059.35,5097.05,126427789,1783.73
30-Nov-23,5101.1,5128.95,5031.05,5041,168464151,3126.36
01-Dec-23,5068,5182.9,5066.55,5134.55,246522016,3055.35
04-Dec-23,5269.1,5338.75,5262,5332.4,425301575,5269.69
05-Dec-23,5351.6,5460.85,5347.65,5407.45,387174162,5297.01
06-Dec-23,5441.95,5473.25,5368.5,5441.7,295852938,4201.56
07-Dec-23,5449.6,5487.1,5391.25,5468.9,236818880,2809.85
08-Dec-23,5471.2,5529.85,5394.1,5479.45,246489493,3493.35
11-Dec-23,5495.95,5589.4,5494.1,5554.1,278460623,3200.24
12-Dec-23,5589.65,5608.15,5529.05,5554.95,240222855,3270.2
13-Dec-23,5564.9,5601.2,5531.25,5595.05,340191138,4853.37
14-Dec-23,5659.1,5671.85,5617.4,5628,197513865,3077.72
15-Dec-23,5674,5772.95,5589.6,5762.6,332078115,5081.95
18-Dec-23,5757,5792.2,5690.35,5720.35,324877216,3643.76
19-Dec-23,5733.8,5807.7,5660.25,5765.75,368212065,4180.62
20-Dec-23,5795.95,5811.1,5512.3,5532.85,374623024,4669.27
21-Dec-23,5462.6,5643.3,5413.8,5623.7,291859569,4505.61
22-Dec-23,5646.05,5666.3,5550.3,5584.95,170006551,2684.18
26-Dec-23,5604.7,5627.4,5571.6,5576.75,121642702,1846.27
27-Dec-23,5602.9,5698.8,5598.85,5691.6,202724476,3129.17
28-Dec-23,5735.9,5798.85,5719.3,5750.45,404904994,5455.52
29-Dec-23,5749.1,5759.45,5683.95,5713.45,190888546,2702.51
01-Jan-24,5733.5,5795.3,5719.8,5757.1,158441948,2182.72
02-Jan-24,5759.95,5811.4,5684.75,5735,210567935,3033.79
03-Jan-24,5740.05,5841.75,5700.35,5801.05,353227636,4544.4
04-Jan-24,5810.85,5875.35,5803.35,5860.9,215664839,3156.56
05-Jan-24,5886.65,5908.9,5783.35,5838.45,203809841,3186.1
08-Jan-24,5825.55,5826.1,5680.85,5691.4,185941799,2992.21
09-Jan-24,5742.6,5765.95,5673.8,5682.25,127408338,2240.1
10-Jan-24,5681.7,5691.2,5616.8,5667.4,146208928,2308.31
11-Jan-24,5708.05,5743.2,5675.4,5703.85,136591169,2335.22
12-Jan-24,5733.15,5884.25,5705.1,5860.8,399394022,4804.1
15-Jan-24,5904.5,5969.35,5881.35,5918.2,361912261,4188.66
16-Jan-24,5926.3,6007.45,5871.5,5933.4,400773475,4307.41
17-Jan-24,5839.9,5934.6,5806.25,5830,362654764,5439.07
18-Jan-24,5814.1,5891.8,5710.7,5877.5,357407134,3933.81
19-Jan-24,5928.6,5958.45,5893.75,5945.1,356327940,3876.31
20-Jan-24,5972.65,6076.2,5929.35,6055.4,292509018,3284.62
23-Jan-24,6093.65,6123.25,5757.75,5806.85,457283918,6356.73
24-Jan-24,5832.1,5945.1,5719.35,5922.25,380861034,5351.51
25-Jan-24,5931.15,6009.55,5870.25,5929.7,325591301,5076.71
29-Jan-24,5990.6,6104.2,5972.85,6073.9,405889501,5002.91
30-Jan-24,6092.15,6216.55,6054.75,6132.45,370971254,4596.67
31-Jan-24,6146.35,6310.35,6082.65,6271.65,605204810,7164.53
01-Feb-24,6304.4,6500.1,6217.15,6466.45,702841995,8685.06
02-Feb-24,6543.3,6699.35,6524.25,6609.75,816136405,9632.44
05-Feb-24,6622.05,6714.55,6537.85,6582,1101974704,11047.52
06-Feb-24,6612.2,6614.9,6468.4,6556.3,722441234,6870.26
07-Feb-24,6634.8,6788.65,6628.05,6743.8,1163216813,13370.95
08-Feb-24,6839.9,7035.4,6785.55,6878.5,762041510,13102.45
09-Feb-24,6906.85,6961.45,6674.2,6944.95,516804001,8741.73
12-Feb-24,6981.65,6984.55,6583.8,6637.05,370916155,5625.43
13-Feb-24,6648.25,6762.5,6527.2,6716.55,428495618,5857.9
14-Feb-24,6620.05,6959.05,6602.65,6934.15,357729851,6479.45
15-Feb-24,6987.85,7169.6,6958.15,7160.8,496933098,8277.13
