Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-Nov-23,52390.8,52680.4,52225.55,52305.75,24491372,2168.62
17-Nov-23,52237.95,52809.75,52237.95,52756.1,17241740,1765.15
20-Nov-23,52842.1,52887.9,52431.1,52550.1,12331702,1260.34
21-Nov-23,52546.55,52651.6,52377.7,52466.2,13842934,1325.29
22-Nov-23,52551.45,52711.5,52312.3,52691.2,12403571,1152.19
23-Nov-23,52713.65,52888.7,52662.45,52823.05,15382958,1404.12
24-Nov-23,52889.5,52958.1,52548.6,52576.9,14132623,1269.34
28-Nov-23,52670.2,52691.9,52402.4,52489.5,20698211,2098.87
29-Nov-23,52592.75,52775.7,52533,52725.45,26249226,2264.98
30-Nov-23,52697.85,53193.35,52661.3,53013.8,40563967,4492.73
01-Dec-23,53199.25,53917.5,53131.65,53851.45,30112591,2475.5
04-Dec-23,54313.6,54397.55,53967.4,54237.7,25492069,2503.76
05-Dec-23,54476.5,54557.7,54039.6,54110.9,26722441,2931.75
06-Dec-23,54281.75,54872.9,54201.2,54662.55,31244958,2541.44
07-Dec-23,54678.55,54728.5,54088.2,54173.15,24865227,2549.59
08-Dec-23,54309.6,54491.3,53568.6,53636.35,29632898,2311.74
11-Dec-23,53790.45,54021.25,53558.8,53976.9,17146211,1867.67
12-Dec-23,54093,54372.8,53738.8,53837,20163515,1883.42
13-Dec-23,54047.75,54275.65,53776.6,54215.35,22905166,2026.25
14-Dec-23,54560.85,54564,53990.1,54361.45,27379065,2529.59
15-Dec-23,54542.05,54585.75,53963.25,54186.2,29435315,2822.44
18-Dec-23,54070.9,54122.25,53911.35,54017.05,24514253,2260.12
19-Dec-23,54201.95,54855.8,54145.05,54776.55,26895002,3254.52
20-Dec-23,55500.4,55581.4,54459.2,54597.9,41644494,4587.34
21-Dec-23,54350.2,54940.35,53970.6,54803.3,34274643,3442.79
22-Dec-23,54972.6,55143.05,54643.75,55101.05,29898243,2978.71
26-Dec-23,55271.75,55556.75,55189.85,55484.4,16097054,1803.43
27-Dec-23,55572.45,55813.3,55471.2,55750.35,21209481,2080.86
28-Dec-23,55866.75,56580.7,55789.05,56504.5,39133793,3675.74
29-Dec-23,56555.15,57055.8,56481.1,56987.2,35043470,3284.01
01-Jan-24,57127.55,57503.15,56899.4,57292.35,19095764,1851.26
02-Jan-24,57427.4,57430,56763.7,57209.5,21779769,2279.1
03-Jan-24,57130.5,57631.6,57058.45,57213.3,35605717,2717.4
04-Jan-24,57470.9,57922.2,57327.25,57703.9,27421818,2879.45
05-Jan-24,57945.1,57966.7,57455.85,57667.35,24105421,2668.55
08-Jan-24,57718.85,57748.35,56636.45,56672.85,28259386,2711.51
09-Jan-24,56868.3,56996.25,56487.65,56573.1,16984637,1817.16
10-Jan-24,56575.6,56794.85,56134.65,56348.95,17380011,1817.58
11-Jan-24,56476.4,56688,56123.8,56228.55,17668217,2074.03
12-Jan-24,56279.1,56559.9,56008,56485.75,27803687,3263.83
15-Jan-24,56795.4,56818.6,56317.45,56657.3,20995094,2516.7
16-Jan-24,56705.2,56872.5,56425.05,56755.85,24734812,2339.05
17-Jan-24,56477.65,56839.6,56191.7,56259.5,25636261,2706.83
18-Jan-24,56175.6,56228.2,55206.7,55953.6,22176870,2242.34
19-Jan-24,56296.3,56813.95,56085.3,56640.5,25100551,2372.87
20-Jan-24,56632.8,56650.35,55933.65,55976.65,9235648,1296.97
23-Jan-24,56212.7,56284.4,54816.1,54973.9,25865311,3092.49
24-Jan-24,55130.3,55918.6,54859.9,55858.7,36475670,3159.8
25-Jan-24,55932.3,55981.6,54981.05,55214.1,33768158,2965.34
29-Jan-24,55058.15,55470.5,55047.7,55139.1,32136373,2667.95
30-Jan-24,55187.2,55501.4,54507.4,54574.35,57485159,3742.3
31-Jan-24,54634.25,55124.95,54501.35,55071.4,37303924,3095.83
01-Feb-24,55205.85,55792,55114.2,55215.8,54911054,4617.44
02-Feb-24,55347.4,55557.5,54992.9,55118.4,31912450,2648.65
05-Feb-24,55340.4,55387.9,54590.6,54698.4,26675833,2568.33
06-Feb-24,54860.15,54956.7,54372.6,54608.8,31963156,2699.06
07-Feb-24,55041.35,55041.35,54523.1,54772.6,24564802,2657.72
08-Feb-24,54774.6,54775.6,53317.25,53646.2,63224923,4360.21
09-Feb-24,53536.85,54007.8,53452.75,53867.1,44053672,3012.84
12-Feb-24,54005.55,54036,53231.5,53292.95,19332182,1614.51
13-Feb-24,53345.4,53534.8,53232.65,53432.05,23524913,1775.34
14-Feb-24,53224.35,53951.7,53138.4,53839.05,22166931,1917.89
15-Feb-24,53902,53997.65,53265.4,53321.35,33015952,2683.69
